rank,product,price,summary
1,Samsung Galaxy S24 Ultra,"$1,199",Best overall performance with top-tier camera and battery life.
2,iPhone 15 Pro Max,"$1,199",Exceptional build quality and performance with a powerful camera system.
3,Google Pixel 8 Pro,$999,Best for photography with advanced AI features and clean software experience.
4,Xiaomi 14 Ultra,"$1,099",Outstanding camera capabilities and fast charging technology.
5,iPhone 15,$799,Great balance of performance and price with excellent ecosystem.
6,Samsung Galaxy Z Fold 6,"$1,799",Innovative foldable design with multitasking capabilities.
7,Google Pixel 8a,$499,Best budget option with solid performance and camera.
8,OnePlus 12R,$649,Fast performance and good value for money.
9,Asus ROG Phone 7,$999,Best for gaming with high refresh rate display and performance.
10,Samsung Galaxy S23,$799,Reliable performance and camera in a compact design.
